"","0","1","2","3","4"
"90","0078585","北海道","札幌市東区","東苗穂十条","1丁目2番21号"
"91","0078632","北海道","札幌市東区","東苗穂二条","3丁目2-5"
"92","0078733","北海道","札幌市東区","伏古八条","2丁目7-1"
"93","0100195","秋田県","秋田市","下新城中野","字街道端西241-438"
"94","0100492","秋田県","南秋田郡大潟村","字西","4丁目88"
"95","0100493","秋田県","男鹿市","角間崎","字家ノ下452番地"
"96","0100494","秋田県","南秋田郡大潟村","字中央","1-1"
"97","0100595","秋田県","男鹿市","船川港船川","字泉台66-1(男鹿郵便局私書箱第6号)"
"98","0101292","秋田県","秋田市","雄和椿川","字奥椿岱193番地2"
"99","0101492","秋田県","秋田市","上北手猿田","字苗代沢17番地3"
"100","0101493","秋田県","秋田市","上北手猿田","字苗代沢17番地3"
"101","0108501","秋田県","秋田市","東通仲町","4-2"
"102","0108502","秋田県","秋田市","手形学園町","1-1"
"103","0108504","秋田県","秋田市","山王","7丁目1-1"
"104","0108505","秋田県","秋田市","中通","2丁目6番1号"
"105","0108506","秋田県","秋田市","東通仲町","4番1号"
"106","0108507","秋田県","秋田市","旭北錦町","5-50シティビル秋田2F"
"107","0108511","秋田県","秋田市","卸町","4丁目9番5号"
"108","0108515","秋田県","秋田市","下北手桜","字守沢46番1"
"109","0108518","秋田県","秋田市","南通築地","15-36"
"110","0108520","秋田県","秋田市","楢山登町","1-20"
"111","0108525","秋田県","秋田市","下北手桜","字守沢8番地1"
"112","0108530","秋田県","秋田市","中通","7丁目2-1"
"113","0108533","秋田県","秋田市","南通みその町","4-82"
"114","0108543","秋田県","秋田市","広面","字蓮沼44番2"
"115","0108550","秋田県","秋田市","中通","5丁目9-16"
"116","0108558","秋田県","秋田市","八橋南","2丁目10番16号"
"117","0108560","秋田県","秋田市","山王","1丁目1-1"
"118","0108564","秋田県","秋田市","卸町","3丁目4番1号"
"119","0108565","秋田県","秋田市","保戸野鉄砲町","5-20"
"120","0108570","秋田県","秋田市","山王","4丁目1-1"
"121","0108572","秋田県","秋田市","山王","3丁目1番1号"
"122","0108574","秋田県","秋田市","中通","4丁目4番4号"
"123","0108577","秋田県","秋田市","南通みその町","3-15"
"124","0108580","秋田県","秋田市","山王","3丁目1-1"
"125","0108588","秋田県","秋田市","中通","2丁目1番11号"
"126","0108601","秋田県","秋田市","山王臨海町","1-1(秋田中央郵便局私書箱第8号)"
"127","0108611","秋田県","秋田市","中通","7丁目1番1-2号(秋田中央郵便局私書箱第48号)"
"128","0108622","秋田県","秋田市","中通","5丁目5-2"
"129","0108633","秋田県","秋田市","中通","2丁目4-19(秋田中央郵便局私書箱第67号)"
"130","0108655","秋田県","秋田市","山王","3丁目2-1(秋田中央郵便局私書箱第5号)"
"131","0108668","秋田県","秋田市","八橋本町","3丁目2-14(秋田中央郵便局私書箱第60号)"
"132","0108677","秋田県","秋田市","中通","3丁目1-41(秋田中央郵便局私書箱第15号)"
"133","0108678","秋田県","秋田市","川尻町","字大川反170-92(秋田中央郵便局私書箱第74号)"
"134","0108794","秋田県","秋田市","中通","2丁目2番15号"
"135","0118501","秋田県","秋田市","土崎港中央","1丁目6-33"
"136","0118510","秋田県","秋田市","土崎港相染町","字中島下27-4"
"137","0118511","秋田県","秋田市","飯島文京町","1-1"
"138","0118520","秋田県","秋田市","寺内","字イサノ134ノ1"
"139","0118555","秋田県","秋田市","飯島","字古道下川端217-9"
"140","0118577","秋田県","秋田市","土崎港中央","6丁目9番地13号"
